gene,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
SMOC2,0.057581830166121194,0.0,4.7245638e-05,0.0,0.009900990099009901,3.3267645627425225e-05,0.0,0.0,0.0222995272500223
UBE2D3,0.05739949415266863,0.0,4.7245638e-05,0.0,0.009900990099009901,2.376413178024096e-05,0.0,0.0,0.0222995272500223
ID4,0.05664242616613754,1.1102230246251565e-16,4.7245638e-05,0.0,0.009900990099009901,2.809480853803062e-05,6.648042063623691e-16,0.0,0.0222995272500223
FOXD3,0.0562095856808054,1.1102230246251565e-16,4.7245638e-05,0.0,0.009900990099009901,2.113838676624355e-05,6.648042063623691e-16,0.0,0.0222995272500223
NFASC,0.055005563048316566,5.551115123125783e-16,4.7245638e-05,0.0,0.009900990099009901,3.025724501562316e-05,3.304235192336775e-15,0.0,0.0222995272500223
HLA-DQB1,0.053895160597209515,1.887379141862766e-15,4.7245638e-05,0.0,0.009900990099009901,2.5391664921200458e-05,1.1167923916347728e-14,0.0,0.0222995272500223
LDOC1,0.053625290007151404,2.55351295663786e-15,4.7245638e-05,0.0,0.009900990099009901,2.2977746456656547e-05,1.502066445081094e-14,0.0,0.0222995272500223
CDA,0.053343391850227316,3.552713678800501e-15,4.7245638e-05,0.0,0.009900990099009901,3.463364170437776e-05,2.0776103384798248e-14,0.0,0.0222995272500223
NHP2,0.05321645245225569,4.107825191113079e-15,4.7245638e-05,0.0,0.009900990099009901,3.1627387261451355e-05,2.388270459949465e-14,0.0,0.0222995272500223
FCER1G,0.0530371330549563,5.10702591327572e-15,4.7245638e-05,0.0,0.009900990099009901,2.1697725911615776e-05,2.935072363951564e-14,0.0,0.0222995272500223
LBH,0.053029791286358124,5.10702591327572e-15,4.7245638e-05,0.0,0.009900990099009901,3.0635254028243394e-05,2.935072363951564e-14,0.0,0.0222995272500223
PLP1,0.05284998505938206,6.328271240363392e-15,4.7245638e-05,0.0,0.009900990099009901,2.3797537115454116e-05,3.616154994493367e-14,0.0,0.0222995272500223
GALNT15,0.05282191834796593,6.439293542825908e-15,4.7245638e-05,1.1013412404281553e-13,0.019801980198019802,5.090091522095652e-05,3.658689512969266e-14,4.627484203479644e-13,0.04074481522226297
NDUFA5,0.05261736973005326,8.215650382226158e-15,4.7245638e-05,0.0,0.009900990099009901,2.7756756969736957e-05,4.641610385438508e-14,0.0,0.0222995272500223
PCBP1,0.05241431207175649,1.0325074129013956e-14,4.7245638e-05,0.0,0.009900990099009901,2.8539144118305616e-05,5.800603443266267e-14,0.0,0.0222995272500223
GPER1,0.05149797494199555,2.886579864025407e-14,4.7245638e-05,0.0,0.009900990099009901,3.013722947929462e-05,1.612614449176205e-13,0.0,0.0222995272500223
CLCN5,0.05127845692190477,3.674838211509268e-14,4.7245638e-05,0.0,0.009900990099009901,3.0147222695916315e-05,2.0415767841718157e-13,0.0,0.0222995272500223
GJA5,0.05123025345568412,3.8746783559417963e-14,4.7245638e-05,0.0,0.009900990099009901,3.129257829288475e-05,2.1407062740009926e-13,0.0,0.0222995272500223
FAM129B,0.0509769473039078,5.129230373768223e-14,4.7245638e-05,0.0,0.009900990099009901,2.2408426261051012e-05,2.8182584471253975e-13,0.0,0.0222995272500223
MAP1B,0.05039844540120858,9.670042544485113e-14,4.7245638e-05,1.1435297153639112e-14,0.009900990099009901,4.181993448834573e-05,5.284176253817002e-13,5.015481207736453e-14,0.0222995272500223
GJA1,0.05012360392719073,1.3022916078853086e-13,4.7245638e-05,0.0,0.009900990099009901,2.7311308698156403e-05,7.077671781985373e-13,0.0,0.0222995272500223
SVEP1,0.050026418903885865,1.446620601086579e-13,4.7245638e-05,0.0,0.009900990099009901,2.394173227874225e-05,7.819570816684211e-13,0.0,0.0222995272500223
MRPL24,0.04981986560068088,1.80855330711438e-13,4.7245638e-05,0.0,0.009900990099009901,3.336504877056315e-05,9.723404876959032e-13,0.0,0.0222995272500223
PDLIM4,0.049672853266227036,2.1183055309847987e-13,4.7245638e-05,0.0,0.009900990099009901,2.510452485906067e-05,1.1327837064089833e-12,0.0,0.0222995272500223
RCAN2,0.04934920175888928,2.9953817204386723e-13,4.7245638e-05,0.0,0.009900990099009901,2.2782647492533324e-05,1.5932881491695065e-12,0.0,0.0222995272500223
SH3BP2,0.0492747392472522,3.2429614549300823e-13,4.7245638e-05,0.0,0.009900990099009901,2.2317335326621484e-05,1.7158526216561281e-12,0.0,0.0222995272500223
